AcceptedSymbol,SynonymSymbol,ScientificName,CommonName
"PLOR80","","Platycladus orientalis (L.) Franco","Oriental arborvitae"
"PLJA","","Pleuraphis jamesii Torr.","James' galleta"
"PLMU3","","Pleuraphis mutica Buckley","tobosagrass"
"PLRI3","","Pleuraphis rigida Thurb.","big galleta"
"PLODO","","Pluchea odorata (L.) Cass. var. odorata ","sweetscent"
"POAL2","","Poa alpina L.","alpine bluegrass"
"POAN","","Poa annua L.","annual bluegrass"
"POAR2","","Poa arctica R. Br.","arctic bluegrass"
"POAU","","Poa autumnalis Muhl. ex Elliott","autumn bluegrass"
"POBU","","Poa bulbosa L.","bulbous bluegrass"
"POCO","","Poa compressa L.","Canada bluegrass"
"POEM","","Poa eminens J. Presl","largeflower speargrass"
"POFE","","Poa fendleriana (Steud.) Vasey","muttongrass"
"POFEF","","Poa fendleriana (Steud.) Vasey ssp. fendleriana ","muttongrass"
"POGL","","Poa glauca Vahl","glaucous bluegrass"
"POGLG","","Poa glauca Vahl ssp. glauca ","glaucous bluegrass"
"POLE","","Poa leibergii Scribn.","Leiberg's bluegrass"
"POLE2","","Poa leptocoma Trin.","marsh bluegrass"
"POMA26","","Poa macrantha Vasey","seashore bluegrass"
"PONE2","","Poa nervosa (Hook.) Vasey","Wheeler bluegrass"
"POPA2","","Poa palustris L.","fowl bluegrass"
"POPR","","Poa pratensis L.","Kentucky bluegrass"
"POSE","","Poa secunda J. Presl","Sandberg bluegrass"
"POSY","","Poa sylvestris A. Gray","woodland bluegrass"
"POTR2","","Poa trivialis L.","rough bluegrass"
"POMA32","","Podocarpus macrophyllus (Thunb.) Sweet","yew plum pine"
"POAC","","Polemonium acutiflorum Willd. ex Roem. & Schult.","tall Jacob's-ladder"
"POOC2","","Polemonium occidentale Greene","western polemonium"
"POCO5","","Polygala cowellii (Britton) S.F. Blake","violet tree"
"POAM8","","Polygonum amphibium L.","water knotweed"
"POBI5","","Polygonum bistorta L.","meadow bistort"
"POBI6","","Polygonum bistortoides Pursh","American bistort"
"PODA","","Polygonum davisiae W.H. Brewer ex A. Gray","Davis' knotweed"
"POHY","","Polygonum hydropiper L.","marshpepper knotweed"
"POHY2","","Polygonum hydropiperoides Michx.","swamp smartweed"
"POPE2","","Polygonum pensylvanicum L.","Pennsylvania smartweed"
"POPE3","","Polygonum persicaria L.","spotted ladysthumb"
"POPU5","","Polygonum punctatum Elliott","dotted smartweed"
"POSA5","","Polygonum sagittatum L.","arrowleaf tearthumb"
"POVI3","","Polygonum viviparum L.","alpine bistort"
"POMO5","","Polypogon monspeliensis (L.) Desf.","annual rabbitsfoot grass"
"POMU","","Polystichum munitum (Kaulf.) C. Presl","western swordfern"
"POCO14","","Pontederia cordata L.","pickerelweed"
"POCA19","","Populus ×canadensis Moench (pro sp.) [deltoides × nigra]","Carolina poplar"
"POAL7","","Populus alba L.","white poplar"
"POAN3","","Populus angustifolia James","narrowleaf cottonwood"
"POBA2","","Populus balsamifera L.","balsam poplar"
"POBAT","","Populus balsamifera L. ssp. trichocarpa (Torr. & A. Gray ex Hook.) Brayshaw","black cottonwood"
"PODE3","","Populus deltoides W. Bartram ex Marshall","eastern cottonwood"
"PODEM","","Populus deltoides W. Bartram ex Marshall ssp. monilifera (Aiton) Eckenwalder","plains cottonwood"
"POFR2","","Populus fremontii S. Watson","Fremont cottonwood"
"POGR4","","Populus grandidentata Michx.","bigtooth aspen"
"POHE4","","Populus heterophylla L.","swamp cottonwood"
"PONI","","Populus nigra L.","Lombardy poplar"
"POTR5","","Populus tremuloides Michx.","quaking aspen"
"POAM5","","Potamogeton amplifolius Tuck.","largeleaf pondweed"
"POCR3","","Potamogeton crispus L.","curly pondweed"
"PODI","","Potamogeton diversifolius Raf.","waterthread pondweed"
"POEP2","","Potamogeton epihydrus Raf.","ribbonleaf pondweed"
"POFOF5","","Potamogeton foliosus Raf. ssp. fibrillosus (Fernald) Haynes & C.B. Hellquist","leafy pondweed"
"POGR8","","Potamogeton gramineus L.","variableleaf pondweed"
"PONA4","","Potamogeton natans L.","floating pondweed"
"PONO2","","Potamogeton nodosus Poir.","longleaf pondweed"
"POPR5","","Potamogeton praelongus Wulfen","whitestem pondweed"
"PORO2","","Potamogeton robbinsii Oakes","Robbins' pondweed"
"POZO","","Potamogeton zosteriformis Fernald","flatstem pondweed"
"POAR7","","Potentilla arguta Pursh","tall cinquefoil"
"PODI2","","Potentilla diversifolia Lehm.","varileaf cinquefoil"
"POGL9","","Potentilla glandulosa Lindl.","sticky cinquefoil"
"POGR9","","Potentilla gracilis Douglas ex Hook.","slender cinquefoil"
"POPL","","Potentilla plattensis Nutt.","Platte River cinquefoil"
"PLSA2","POSA11","Pouteria sandwicensis (A. Gray) Baehni & O. Deg.","'ala'a"
"PRACM","","Prestoea acuminata (Willd.) H.E. Moore var. montana (Graham) A. Hend. & G. Galeano","Sierran palm"
"PRIN","","Primula incana M.E. Jones","silvery primrose"
"PRMA15","PRAF","Pritchardia affinis Becc.","Hawai'i pritchardia"
"PRMA15","","Pritchardia maideniana Becc.","Hawai'i pritchardia"
"PRMU3","","Pritchardia munroi Rock","Kamalo pritchardia"
"PRGLG","","Prosopis glandulosa Torr. var. glandulosa ","honey mesquite"
"PRPU","","Prosopis pubescens Benth.","screwbean mesquite"
"PRVU","","Prunella vulgaris L.","common selfheal"
"PRAM","","Prunus americana Marshall","American plum"
"PRAN3","","Prunus angustifolia Marshall","Chickasaw plum"
"PREM","","Prunus emarginata (Douglas ex Hook.) D. Dietr.","bitter cherry"
"PRFA","","Prunus fasciculata (Torr.) A. Gray","desert almond"
"PRFR2","","Prunus fruticosa Pall.","European dwarf cherry"
"PRILL","","Prunus ilicifolia (Nutt. ex Hook. & Arn.) D. Dietr. ssp. lyonii (Eastw.) P.H. Raven","hollyleaf cherry"
"PRMA2","","Prunus maritima Marshall","beach plum"
"PRNI","","Prunus nigra Aiton","Canadian plum"
"PRPA5","","Prunus padus L.","European bird cherry"
"PRPE2","","Prunus pensylvanica L. f.","pin cherry"
"PRPU3","","Prunus pumila L.","sandcherry"
"PRPUB","","Prunus pumila L. var. besseyi (L.H. Bailey) Gleason","western sandcherry"
"PRSE2","","Prunus serotina Ehrh.","black cherry"
"PRSER2","","Prunus serotina Ehrh. var. rufula (Wooton & Standl.) McVaugh","black cherry"
"PRSU2","","Prunus subcordata Benth.","Klamath plum"
"PRTE5","","Prunus tenella Batsch","dwarf Russian almond"
"PRTO80","","Prunus tomentosa Thunb.","Nanking cherry"
"PRVI","","Prunus virginiana L.","chokecherry"
"PRVID","","Prunus virginiana L. var. demissa (Nutt.) Torr.","western chokecherry"
"PSJU3","","Psathyrostachys juncea (Fisch.) Nevski","Russian wildrye"
"PSSPI","","Pseudoroegneria spicata (Pursh) Á. Löve ssp. inermis (Scribn. & J.G. Sm.) Á. Löve","beardless wheatgrass"
"PSSPS","","Pseudoroegneria spicata (Pursh) Á. Löve ssp. spicata ","bluebunch wheatgrass"
"PSMA","","Pseudotsuga macrocarpa (Vasey) Mayr","bigcone Douglas-fir"
"PSME","","Pseudotsuga menziesii (Mirb.) Franco","Douglas-fir"
"PSMEG","","Pseudotsuga menziesii (Mirb.) Franco var. glauca (Beissn.) Franco","Rocky Mountain Douglas-fir"
"PSGU","","Psidium guajava L.","guava"
"PSOD","","Psydrax odorata (G. Forst.) A.C. Sm. & S. Darwin","alahe'e"
"PTTR","","Ptelea trifoliata L.","common hoptree"
"PTAQ","","Pteridium aquilinum (L.) Kuhn","western brackenfern"
"PTOF","","Pterocarpus officinalis Jacq.","dragonsblood tree"
"PTKI","","Ptilagrostis kingii (Bol.) Barkworth","Sierra false needlegrass"
"PUNU2","","Puccinellia nuttalliana (Schult.) Hitchc.","Nuttall's alkaligrass"
"PUGR2","","Punica granatum L.","pomegranate"
"PUGL2","","Purshia glandulosa Curran","desert bitterbrush"
"PUST","","Purshia stansburiana (Torr.) Henrickson","Stansbury cliffrose"
"PUTR2","","Purshia tridentata (Pursh) DC.","antelope bitterbrush"
"PYCO2","","Pyracantha coccinea M. Roem.","scarlet firethorn"
"PYCA80","","Pyrus calleryana Decne.","Callery pear"
"PYCO","","Pyrus communis L.","common pear"
"PYUS2","","Pyrus ussuriensis Maxim.","Chinese pear"
"QUAC80","","Quercus acutissima Carruthers","sawtooth oak"
"QUAG","","Quercus agrifolia Née","California live oak"
"QUAL","","Quercus alba L.","white oak"
"QUBI","","Quercus bicolor Willd.","swamp white oak"
"QUCH2","","Quercus chrysolepis Liebm.","canyon live oak"
"QUCO2","","Quercus coccinea Münchh.","scarlet oak"
"QUDO","","Quercus douglasii Hook. & Arn.","blue oak"
"QUDU","","Quercus dumosa Nutt.","coastal sage scrub oak"
"QUFA","","Quercus falcata Michx.","southern red oak"
"QUGA","","Quercus gambelii Nutt.","Gambel oak"
"QUGA4","","Quercus garryana Douglas ex Hook.","Oregon white oak"
"QUIM","","Quercus imbricaria Michx.","shingle oak"
"QUKE","","Quercus kelloggii Newberry","California black oak"
"QULA2","","Quercus laevis Walter","turkey oak"
"QULA3","","Quercus laurifolia Michx.","laurel oak"
"QULO","","Quercus lobata Née","valley oak"
"QULY","","Quercus lyrata Walter","overcup oak"
"QUMA2","","Quercus macrocarpa Michx.","bur oak"
"QUMA3","","Quercus marilandica Münchh.","blackjack oak"
"QUMI","","Quercus michauxii Nutt.","swamp chestnut oak"
"QUMO4","","Quercus montana Willd.","chestnut oak"
"QUMU","","Quercus muehlenbergii Engelm.","chinquapin oak"
"QUNI","","Quercus nigra L.","water oak"
"QUPA5","","Quercus pagoda Raf.","cherrybark oak"
"QUPA2","","Quercus palustris Münchh.","pin oak"
"QUPH","","Quercus phellos L.","willow oak"
"QUMO4","QUPR2","Quercus prinus L. p.p., nom. utique rej.","chestnut oak"
"QUPU80","","Quercus pumila Walter","running oak"
"QURU","","Quercus rubra L.","northern red oak"
"QUSH","","Quercus shumardii Buckley","Shumard's oak"
"QUST","","Quercus stellata Wangenh.","post oak"
"QUTE","","Quercus texana Buckley","Nuttall oak"
"QUVA","","Quercus vacciniifolia Kellogg","huckleberry oak"
"QUVE","","Quercus velutina Lam.","black oak"
"QUVI","","Quercus virginiana Mill.","live oak"
"RAAB","","Ranunculus abortivus L.","littleleaf buttercup"
"RAAL","","Ranunculus alismifolius Geyer ex Benth.","plantainleaf buttercup"
"RACY","","Ranunculus cymbalaria Pursh","alkali buttercup"
"RAES","","Ranunculus eschscholtzii Schltdl.","Eschscholtz's buttercup"
"RAFL2","","Ranunculus flammula L.","greater creeping spearwort"
"RAGL","","Ranunculus glaberrimus Hook.","sagebrush buttercup"
"RAHI","","Ranunculus hispidus Michx.","bristly buttercup"
"RAHY2","","Ranunculus hyperboreus Rottb.","high northern buttercup"
"RALA2","","Ranunculus laxicaulis (Torr. & A. Gray) Darby","Mississippi buttercup"
"RALO2","","Ranunculus longirostris Godr.","longbeak buttercup"
"RAMA2","","Ranunculus macounii Britton","Macoun's buttercup"
"RAPE2","","Ranunculus pensylvanicus L. f.","Pennsylvania buttercup"
"RARE3","","Ranunculus repens L.","creeping buttercup"
"RASC3","","Ranunculus sceleratus L.","cursed buttercup"
"RACO3","","Ratibida columnifera (Nutt.) Wooton & Standl.","upright prairie coneflower"
"RAPI","","Ratibida pinnata (Vent.) Barnhart","pinnate prairie coneflower"
"RATA","","Ratibida tagetes (James) Barnhart","green prairie coneflower"
"RANI2","","Rauvolfia nitida Jacq.","palo amargo"
"RHAL","","Rhamnus alnifolia L'Hér.","alderleaf buckthorn"
"RHCR","","Rhamnus crocea Nutt.","redberry buckthorn"
"RHAL2","","Rhododendron albiflorum Hook.","Cascade azalea"
"RHAR3","","Rhododendron arborescens (Pursh) Torr.","smooth azalea"
"RHAT","","Rhododendron atlanticum (Ashe) Rehder","dwarf azalea"
"RHCA6","","Rhododendron canadense (L.) Torr.","rhodora"
"RHCA7","","Rhododendron canescens (Michx.) Sweet","mountain azalea"
"RHLA2","","Rhododendron lapponicum (L.) Wahlenb.","Lapland rosebay"
"RHMA3","","Rhododendron macrophyllum D. Don ex G. Don","Pacific rhododendron"
"RHMA4","","Rhododendron maximum L.","great laurel"
"RHOC","","Rhododendron occidentale (Torr. & A. Gray) A. Gray","western azalea"
"RHPE4","","Rhododendron periclymenoides (Michx.) Shinners","pink azalea"
"RHVI2","","Rhododendron viscosum (L.) Torr.","swamp azalea"
"RHARS","","Rhus aromatica Aiton var. serotina (Greene) Rehder","fragrant sumac"
"RHCO","","Rhus copallinum L.","winged sumac"
"RHGL","","Rhus glabra L.","smooth sumac"
"RHTY","RHHI2","Rhus hirta (L.) Sudw., nom. utique rej.","staghorn sumac"
"RHMI3","","Rhus microphylla Engelm. ex A. Gray","littleleaf sumac"
"RHOV","","Rhus ovata S. Watson","sugar sumac"
"RHTR","","Rhus trilobata Nutt.","skunkbush sumac"
"RHTY","","Rhus typhina L.","staghorn sumac"
"RHCO2","","Rhynchospora corniculata (Lam.) A. Gray","shortbristle horned beaksedge"
"RIAM2","","Ribes americanum Mill.","American black currant"
"RIAU","","Ribes aureum Pursh","golden currant"
"RIAUV","","Ribes aureum Pursh var. villosum DC.","golden currant"
"RICE","","Ribes cereum Douglas","wax currant"
"RIER","","Ribes erythrocarpum Coville & Leiberg","Crater Lake currant"
"RIHU","","Ribes hudsonianum Richardson","northern black currant"
"RIIN2","","Ribes inerme Rydb.","whitestem gooseberry"
"RILA","","Ribes lacustre (Pers.) Poir.","prickly currant"
"RIMO2","","Ribes montigenum McClatchie","gooseberry currant"
"RINE","","Ribes nevadense Kellogg","Sierra currant"
"RIRO","","Ribes roezlii Regel","Sierra gooseberry"
"RISA","","Ribes sanguineum Pursh","redflower currant"
"RITR","","Ribes triste Pall.","red currant"
"RIVI","","Ribes viburnifolium A. Gray","island gooseberry"
"RIVI3","","Ribes viscosissimum Pursh","sticky currant"
"ROHIF8","","Robinia hispida L. var. fertilis (Ashe) R.T. Clausen","bristly locust"
"RONE","","Robinia neomexicana A. Gray","New Mexico locust"
"ROPS","","Robinia pseudoacacia L.","black locust"
"ROCU","","Rorippa curvisiliqua (Hook.) Besser ex Britton","curvepod yellowcress"
"ROSE","","Rorippa sessiliflora (Nutt.) Hitchc.","stalkless yellowcress"
"ROSI2","","Rorippa sinuata (Nutt.) Hitchc.","spreading yellowcress"
"ROSY","","Rorippa sylvestris (L.) Besser","creeping yellowcress"
"ROAC","","Rosa acicularis Lindl.","prickly rose"
"ROCA2","","Rosa californica Cham. & Schltdl.","California wildrose"
"ROCA4","","Rosa carolina L.","Carolina rose"
"RORU82","ROEG","Rosa eglanteria L., nom. utique rej.","sweetbriar rose"
"ROGY","","Rosa gymnocarpa Nutt.","dwarf rose"
"RONU","","Rosa nutkana C. Presl","Nootka rose"
"ROPA","","Rosa palustris Marshall","swamp rose"
"ROPI2","","Rosa pisocarpa A. Gray","cluster rose"
"RORU82","","Rosa rubiginosa L.","sweetbriar rose"
"RORU","","Rosa rugosa Thunb.","rugosa rose"
"ROSE2","","Rosa setigera Michx.","climbing rose"
"ROVI2","","Rosa virginiana Mill.","Virginia rose"
"ROWI","","Rosa wichuraiana Crép.","memorial rose"
"ROWO","","Rosa woodsii Lindl.","Woods' rose"
"ROOF","","Rosmarinus officinalis L.","rosemary"
"ROBO","","Roystonea borinquena O.F. Cook","Puerto Rico royal palm"
"RUAL","","Rubus allegheniensis Porter","Allegheny blackberry"
"RUAL9","","Rubus alumnus L.H. Bailey","oldfield blackberry"
"RUAR","","Rubus arcticus L.","arctic raspberry"
"RUAR2","","Rubus argutus Link","sawtooth blackberry"
"RUBA2","","Rubus baileyanus Britton","Bailey's dewberry"
"RUCH","","Rubus chamaemorus L.","cloudberry"
"RUCU","","Rubus cuneifolius Pursh","sand blackberry"
"RUFL","","Rubus flagellaris Willd.","northern dewberry"
"RUHI","","Rubus hispidus L.","bristly dewberry"
"RUID","","Rubus idaeus L.","American red raspberry"
"RUIDS2","","Rubus idaeus L. ssp. strigosus (Michx.) Focke","grayleaf red raspberry"
"RULA","","Rubus laciniatus Willd.","cutleaf blackberry"
"RULE","","Rubus leucodermis Douglas ex Torr. & A. Gray","whitebark raspberry"
"RUOC","","Rubus occidentalis L.","black raspberry"
"RUOD","","Rubus odoratus L.","purpleflowering raspberry"
"RUPA","","Rubus parviflorus Nutt.","thimbleberry"
"RUSP","","Rubus spectabilis Pursh","salmonberry"
"RUUR","","Rubus ursinus Cham. & Schltdl.","California blackberry"
"RUHI2","","Rudbeckia hirta L.","blackeyed Susan"
"RULA3","","Rudbeckia laciniata L.","cutleaf coneflower"
"RUMA3","","Rudbeckia maxima Nutt.","great coneflower"
"RUNI3","","Rudbeckia nitida Nutt.","shiny coneflower"
"RUHU","","Ruellia humilis Nutt.","fringeleaf wild petunia"
"RUST2","","Ruellia strepens L.","limestone wild petunia"
"RUAR6","","Rumex arcticus Trautv.","arctic dock"
"RUMA4","","Rumex maritimus L.","golden dock"
"RUMA5","","Ruppia maritima L.","widgeongrass"
"SACA","","Sabal causiarum (O.F. Cook) Becc.","Puerto Rico palmetto"
"SAMI8","","Sabal minor (Jacq.) Pers.","dwarf palmetto"
"SAPA","","Sabal palmetto (Walter) Lodd. ex Schult. & Schult. f.","cabbage palmetto"
"SABR18","","Saccharum brevibarbe (Michx.) Pers.","shortbeard plumegrass"
"SAGI","","Saccharum giganteum (Walter) Pers.","sugarcane plumegrass"
"SAOF","","Saccharum officinarum L.","sugarcane"
"SARA3","","Saccharum ravennae (L.) L.","ravennagrass"
"SAST","","Sacciolepis striata (L.) Nash","American cupscale"
"SASA","","Sagina saginoides (L.) Karst.","arctic pearlwort"
"SACU","","Sagittaria cuneata Sheldon","arumleaf arrowhead"
"SALA2","","Sagittaria latifolia Willd.","broadleaf arrowhead"
"SAPL","","Sagittaria platyphylla (Engelm.) J.G. Sm.","delta arrowhead"
"SADE10","","Salicornia depressa Standl.","Virginia glasswort"
"SARU","","Salicornia rubra A. Nelson","red swampfire"
"SADE10","SAVI","Salicornia virginica L.","Virginia glasswort"
"SACO28","","Salix ×cottetii Kern.","Cottet willow"
"SASE10","","Salix ×sepulcralis Simonkai [alba × babylonica]","weeping willow"
"SAAL","","Salix alaxensis (Andersson) Coville","feltleaf willow"
"SAAL2","","Salix alba L.","white willow"
"SAAM2","","Salix amygdaloides Andersson","peachleaf willow"
"SAAR3","","Salix arbusculoides Andersson","littletree willow"
"SABA3","","Salix barclayi Andersson","Barclay's willow"
"SABE2","","Salix bebbiana Sarg.","Bebb willow"
"SABO","","Salix bonplandiana Kunth","Bonpland willow"
"SABO2","","Salix boothii Dorn","Booth's willow"
"SABR","","Salix brachycarpa Nutt.","shortfruit willow"
"SACA4","","Salix candida Flueggé ex Willd.","sageleaf willow"
"SACA5","","Salix caroliniana Michx.","coastal plain willow"
"SACO2","","Salix commutata Bebb","undergreen willow"
"SADI","","Salix discolor Muhl.","pussy willow"
"SADR","","Salix drummondiana Barratt ex Hook.","Drummond's willow"
"SAER","","Salix eriocephala Michx.","Missouri River willow"
"SAEX","","Salix exigua Nutt.","narrowleaf willow"
"SASE3","SAFL2","Salix fluviatilis Nutt., nom. utique rej.","northwest sandbar willow"
"SAFU","","Salix fuscescens Andersson","Alaska bog willow"
"SAGE2","","Salix geyeriana Andersson","Geyer willow"
"SAGL","","Salix glauca L.","grayleaf willow"
"SAGO","","Salix gooddingii C.R. Ball","Goodding's willow"
"SAHA","","Salix hastata L.","halberd willow"
"SAHO","","Salix hookeriana Barratt ex Hook.","dune willow"
"SAHU2","","Salix humilis Marshall","prairie willow"
"SAIN3","","Salix interior Rowlee","sandbar willow"
"SAIR","","Salix irrorata Andersson","dewystem willow"
"SALA6","","Salix lasiolepis Benth.","arroyo willow"
"SALE","","Salix lemmonii Bebb","Lemmon's willow"
"SALI","","Salix ligulifolia (C.R. Ball) C.R. Ball ex C.K. Schneid.","strapleaf willow"
"SALU","","Salix lucida Muhl.","shining willow"
"SALUL","","Salix lucida Muhl. ssp. lasiandra (Benth.) A.E. Murray","Pacific willow"
"SALU2","","Salix lutea Nutt.","yellow willow"
"SAMO2","","Salix monticola Bebb","park willow"
"SANI","","Salix nigra Marshall","black willow"
"SANI10","","Salix niphoclada Rydb.","barrenground willow"
"SAOR","","Salix orestera C.K. Schneid.","Sierra willow"
"SAPE4","","Salix pentandra L.","laurel willow"
"SAPL2","","Salix planifolia Pursh","diamondleaf willow"
"SAPO","","Salix polaris Wahlenb.","polar willow"
"SAPR3","","Salix prolixa Andersson","MacKenzie's willow"
"SAPU15","","Salix pulchra Cham.","tealeaf willow"
"SAPU2","","Salix purpurea L.","purpleosier willow"
"SARE2","","Salix reticulata L.","netleaf willow"
"SARI4","","Salix richardsonii Hook.","Richardson's willow"
"SARO2","","Salix rotundifolia Trautv.","least willow"
"SASC","","Salix scouleriana Barratt ex Hook.","Scouler's willow"
"SASE","","Salix sericea Marshall","silky willow"
"SASE3","","Salix sessilifolia Nutt.","northwest sandbar willow"
"SASI2","","Salix sitchensis Sanson ex Bong.","Sitka willow"
"SATA","","Salix taxifolia Kunth","yewleaf willow"
"SAAZG","","Salvia azurea Michx. ex Lam. var. grandiflora Benth.","pitcher sage"
"SADO4","","Salvia dorrii (Kellogg) Abrams","purple sage"
"SANIC4","","Sambucus nigra L. ssp. canadensis (L.) R. Bolli","American black elderberry"
"SANIC5","","Sambucus nigra L. ssp. cerulea (Raf.) R. Bolli","blue elderberry"
"SARAR3","","Sambucus racemosa L. var. racemosa ","red elderberry"
"SAMI3","","Sanguisorba minor Scop.","small burnet"
"SASAD","","Sapindus saponaria L. var. drummondii (Hook. & Arn.) L.D. Benson","western soapberry"
"SAOF4","","Saponaria officinalis L.","bouncingbet"
"SAVE4","","Sarcobatus vermiculatus (Hook.) Torr.","greasewood"
"SAAL5","","Sassafras albidum (Nutt.) Nees","sassafras"
"SCCA21","","Scabiosa caucasica M. Bieb.","Caucasian pincushion flower"
"SCSE6","","Scaevola sericea Vahl","beach naupaka"
"SCAR7","","Schedonorus arundinaceus (Schreb.) Dumort., nom. cons.","tall fescue"
"SCPR4","","Schedonorus pratensis (Huds.) P. Beauv.","meadow fescue"
"SCMO10","","Schefflera morototonii (Aubl.) Maguire, Steyerm. & Frodin","matchwood"
"SCTE","","Schinus terebinthifolius Raddi","Brazilian peppertree"
"SCSC","","Schizachyrium scoparium (Michx.) Nash","little bluestem"
"SCSCD","","Schizachyrium scoparium (Michx.) Nash var. divergens (Hack.) Gould","little bluestem"
"SCTE5","","Schizachyrium tenerum Nees","slender little bluestem"
"SCACA","","Schoenoplectus acutus (Muhl. ex Bigelow) Á. Löve & D. Löve var. acutus ","hardstem bulrush"
"SCCA11","","Schoenoplectus californicus (C.A. Mey.) Palla","California bulrush"
"BOFL3","SCFL11","Schoenoplectus fluviatilis (Torr.) M.T. Strong","river bulrush"
"SCHE5","","Schoenoplectus heterochaetus (Chase) Soják","slender bulrush"
"BOMA7","SCMA8","Schoenoplectus maritimus (L.) Lye","cosmopolitan bulrush"
"SCPUP5","","Schoenoplectus pungens (Vahl) Palla var. pungens ","common threesquare"
"BORO5","SCRO5","Schoenoplectus robustus (Pursh) M.T. Strong","sturdy bulrush"
"SCTA2","","Schoenoplectus tabernaemontani (C.C. Gmel.) Palla","softstem bulrush"
"SCAT2","","Scirpus atrovirens Willd.","green bulrush"
"SCCY","","Scirpus cyperinus (L.) Kunth","woolgrass"
"SCGE2","","Scirpus georgianus Harper","Georgia bulrush"
"SCMI2","","Scirpus microcarpus J. Presl & C. Presl","panicled bulrush"
"SCPA8","","Scirpus pallidus (Britton) Fernald","cloaked bulrush"
"SCPE3","","Scirpus pedicellatus Fernald","stalked bulrush"
"SCPE4","","Scirpus pendulus Muhl.","rufous bulrush"
"SCFE","","Scolochloa festucacea (Willd.) Link","common rivergrass"
"DIFR6","SEFR","Sebastiania fruticosa (W. Bartram) Fernald","Gulf Sebastian-bush"
"SECE","","Secale cereale L.","cereal rye"
"SEVA4","","Securigera varia (L.) Lassen","crownvetch"
"SEHY","","Senecio hydrophiloides Rydb.","tall groundsel"
"SEIN2","","Senecio integerrimus Nutt.","lambstongue ragwort"
"SETR","","Senecio triangularis Hook.","arrowleaf ragwort"
"SEVU","","Senecio vulgaris L.","old-man-in-the-Spring"
"SEGR4","","Senegalia greggii (A. Gray) Britton & Rose","catclaw acacia"
"SEGA2","","Senna gaudichaudii (Hook. & Arn.) Irwin & Barneby","Gaudichaud's senna"
"SEMA11","","Senna marilandica (L.) Link","Maryland senna"
"SESE3","","Sequoia sempervirens (Lamb. ex D. Don) Endl.","redwood"
"SEGI2","","Sequoiadendron giganteum (Lindl.) J. Buchholz","giant sequoia"
"SERE2","","Serenoa repens (W. Bartram) Small","saw palmetto"
"SECA23","","Sesbania cannabina (Retz.) Poir.","sesbania"
"SEGR5","","Sesbania grandiflora (L.) Poir.","vegetable hummingbird"
"SETO3","","Sesbania tomentosa Hook. & Arn.","Oahu riverhemp"
"SEIT","","Setaria italica (L.) P. Beauv.","foxtail millet"
"SEPU8","","Setaria pumila (Poir.) Roem. & Schult.","yellow foxtail"
"SEVU2","","Setaria vulpiseta (Lam.) Roem. & Schult.","plains bristlegrass"
"SHAR","","Shepherdia argentea (Pursh) Nutt.","silver buffaloberry"
"SHCA","","Shepherdia canadensis (L.) Nutt.","russet buffaloberry"
"SINE3","","Sidalcea neomexicana A. Gray","salt spring checkerbloom"
"SIOR","","Sidalcea oregana (Nutt. ex Torr. & A. Gray) A. Gray","Oregon checkerbloom"
"SILY","","Sideroxylon lycioides L.","buckthorn bully"
"SIRER2","","Sideroxylon reclinatum Michx. ssp. reclinatum ","Florida bully"
"SIPE2","","Silphium perfoliatum L.","cup plant"
"SICH","","Simmondsia chinensis (Link) C.K. Schneid.","jojoba"
"SIAN3","","Sisyrinchium angustifolium Mill.","narrowleaf blue-eyed grass"
"SIID","","Sisyrinchium idahoense E.P. Bicknell","Idaho blue-eyed grass"
"SLBE","","Sloanea berteriana Choisy ex DC.","bullwood"
"SMBO2","","Smilax bona-nox L.","saw greenbrier"
"SMGL","","Smilax glauca Walter","cat greenbrier"
"SMLA","","Smilax laurifolia L.","laurel greenbrier"
"SMRO","","Smilax rotundifolia L.","roundleaf greenbrier"
"SMSM","","Smilax smallii Morong","lanceleaf greenbrier"
"SMWA","","Smilax walteri Pursh","coral greenbrier"
"SOLYL","","Solanum lycopersicum L. var. lycopersicum ","garden tomato"
"SOME","","Solanum melongena L.","eggplant"
"SOAL6","","Solidago altissima L.","Canada goldenrod"
"SOCA4","","Solidago caesia L.","wreath goldenrod"
"SOCA6","","Solidago canadensis L.","Canada goldenrod"
"SOAL6","SOCAS5","Solidago canadensis L. var. scabra Torr. & A. Gray","Canada goldenrod"
"SOFI","","Solidago fistulosa Mill.","pine barren goldenrod"
"SOFL2","","Solidago flexicaulis L.","zigzag goldenrod"
"SOGI","","Solidago gigantea Aiton","giant goldenrod"
"SOMI2","","Solidago missouriensis Nutt.","Missouri goldenrod"
"SOMU","","Solidago multiradiata Aiton","Rocky Mountain goldenrod"
"SONE","","Solidago nemoralis Aiton","gray goldenrod"
"SOPA2","","Solidago patula Muhl. ex Willd.","roundleaf goldenrod"
"SORU2","","Solidago rugosa Mill.","wrinkleleaf goldenrod"
"SOSE","","Solidago sempervirens L.","seaside goldenrod"
"SOULU","","Solidago uliginosa Nutt. var. uliginosa ","bog goldenrod"
"SOCH","","Sophora chrysophylla (Salisb.) Seem.","mamani"
"SOSE3","","Sophora secundiflora (Ortega) Lag. ex DC.","mescal bean"
"SOAM3","","Sorbus americana Marshall","American mountain ash"
"SOAU","","Sorbus aucuparia L.","European mountain ash"
"SODE3","","Sorbus decora (Sarg.) C.K. Schneid.","northern mountain ash"
